文件,节点类型,键,值,desc文本,行号,命名空间
objects.svg,rect,apartment1_1st_floor_poster_wide1_r,7;3,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,house_window,0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,house_empty,0;0,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,house_door,2;0,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,type,tree,"type = tree; name = TreeBirch; detail_texture = birch.png;",,
objects.svg,rect,name,TreeBirch,"type = tree; name = TreeBirch; detail_texture = birch.png;",,
objects.svg,rect,detail_texture,birch.png,"type = tree; name = TreeBirch; detail_texture = birch.png;",,
objects.svg,rect,name,BuildingWhite1,"name = BuildingWhite1; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_empty; other_floor_1 = apartment1; other_floor_2 = apartment1; other_floor_3 = apartment1; other_floor_4 = apartment1; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,color,stroke,"name = BuildingWhite1; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_empty; other_floor_1 = apartment1; other_floor_2 = apartment1; other_floor_3 = apartment1; other_floor_4 = apartment1; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,color_variance,0.0 0.0 0.3,"name = BuildingWhite1; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_empty; other_floor_1 = apartment1; other_floor_2 = apartment1; other_floor_3 = apartment1; other_floor_4 = apartment1; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,detail_texture,wall_atlas1.png,"name = BuildingWhite1; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_empty; other_floor_1 = apartment1; other_floor_2 = apartment1; other_floor_3 = apartment1; other_floor_4 = apartment1; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,detail_texture_atlas_cell,2 1 8 8 0.0078125 0.0078125,"name = BuildingWhite1; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_empty; other_floor_1 = apartment1; other_floor_2 = apartment1; other_floor_3 = apartment1; other_floor_4 = apartment1; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,detail_texture_scale,3 3,"name = BuildingWhite1; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_empty; other_floor_1 = apartment1; other_floor_2 = apartment1; other_floor_3 = apartment1; other_floor_4 = apartment1; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,st_floor_1,apartment1_1st_floor,"name = BuildingWhite1; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_empty; other_floor_1 = apartment1; other_floor_2 = apartment1; other_floor_3 = apartment1; other_floor_4 = apartment1; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,st_floor_2,apartment1_1st_floor_empty,"name = BuildingWhite1; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_empty; other_floor_1 = apartment1; other_floor_2 = apartment1; other_floor_3 = apartment1; other_floor_4 = apartment1; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,st_floor_3,apartment1_1st_floor,"name = BuildingWhite1; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_empty; other_floor_1 = apartment1; other_floor_2 = apartment1; other_floor_3 = apartment1; other_floor_4 = apartment1; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,st_floor_4,apartment1_1st_floor_empty,"name = BuildingWhite1; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_empty; other_floor_1 = apartment1; other_floor_2 = apartment1; other_floor_3 = apartment1; other_floor_4 = apartment1; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,other_floor_1,apartment1,"name = BuildingWhite1; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_empty; other_floor_1 = apartment1; other_floor_2 = apartment1; other_floor_3 = apartment1; other_floor_4 = apartment1; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
objects.svg,rect,other_floor_2,apartment1,"name = BuildingWhite1; color = stroke; color_variance = 0.0 0.0 0.3; # plain; detail_texture = wall_atlas1.png; detail_texture_atlas_cell = 2 1 8 8 0.0078125 0.0078125; detail_texture_scale = 3 3; 1st_floor_1 = apartment1_1st_floor; 1st_floor_2 = apartment1_1st_floor_empty; 1st_floor_3 = apartment1_1st_floor; 1st_floor_4 = apartment1_1st_floor_empty; other_floor_1 = apartment1; other_floor_2 = apartment1; other_floor_3 = apartment1; other_floor_4 = apartment1; roof_color = fill; roof_color_variance = 0.0 0.0 0.2; roof_texture = wall_atlas1.png; roof_texture_atlas_cell = 1 0 2 2; roof_texture_scale = 8.0 8.0;",,
