节点类型,inkscape:label,键名,值,值个数
flowRoot,无label,color,fill,2
flowRoot,无label,color,stroke,2
flowRoot,无label,color_variance,0.0 0.0 0.3,1
flowRoot,无label,depth,0.5,2
flowRoot,无label,depth,0.8,2
flowRoot,无label,detail_cutout_texture,cutout.png,1
flowRoot,无label,detail_cutout_texture_channel,1,1
flowRoot,无label,detail_cutout_texture_scale,10 10,1
flowRoot,无label,detail_texture,birch.png,2
flowRoot,无label,detail_texture,wall_atlas1.png,2
flowRoot,无label,detail_texture_atlas_cell,2 0 8 8 0.0078125,2
flowRoot,无label,detail_texture_atlas_cell,2 1 8 8 0.0078125 0.0078125,2
flowRoot,无label,detail_texture_scale,3 3,1
flowRoot,无label,height,1.35,2
flowRoot,无label,height,7,2
flowRoot,无label,key,deco_car2_yellow.vehicle,3
flowRoot,无label,key,deco_pickup_blue.vehicle,3
flowRoot,无label,key,water_tower.vehicle,3
flowRoot,无label,mesh_name,camonet.mesh,8
flowRoot,无label,mesh_name,gas_tank.mesh,8
flowRoot,无label,mesh_name,lighthouse.mesh,8
flowRoot,无label,mesh_name,streetlantern.mesh,8
flowRoot,无label,mesh_name,tent.mesh,8
flowRoot,无label,mesh_name,ventilator.mesh,8
flowRoot,无label,mesh_name,venus.mesh,8
flowRoot,无label,mesh_name,weapon_rack.mesh,8
flowRoot,无label,name,BuildingWhite1,15
flowRoot,无label,name,BuildingWhite1Brick,15
flowRoot,无label,name,HangarWall,15
flowRoot,无label,name,TreeBirch,15
flowRoot,无label,name,TrenchWall1,15
flowRoot,无label,name,camonet,15
flowRoot,无label,name,gas_tank,15
flowRoot,无label,name,lighthouse,15
flowRoot,无label,name,parking_line,15
flowRoot,无label,name,roadline,15
flowRoot,无label,name,streetlantern,15
flowRoot,无label,name,tent,15
flowRoot,无label,name,ventilator,15
flowRoot,无label,name,venus,15
flowRoot,无label,name,weapon_rack,15
flowRoot,无label,other_floor_1,apartment1,1
flowRoot,无label,other_floor_2,apartment1,1
flowRoot,无label,other_floor_3,apartment1,1
flowRoot,无label,other_floor_4,apartment1,1
flowRoot,无label,penetrability,0,1
flowRoot,无label,roof_color,fill,1
flowRoot,无label,roof_color_variance,0.0 0.0 0.2,1
flowRoot,无label,roof_texture,wall_atlas1.png,1
flowRoot,无label,roof_texture_atlas_cell,1 0 2 2,1
flowRoot,无label,roof_texture_scale,8.0 8.0,1
flowRoot,无label,see_through,0,1
flowRoot,无label,separator_color,#938c7d,2
flowRoot,无label,separator_color,stroke,2
flowRoot,无label,separator_depth,0.0,2
flowRoot,无label,separator_depth,0.6,2
flowRoot,无label,separator_over_height,0.0,2
flowRoot,无label,separator_over_height,0.8,2
flowRoot,无label,separator_side_texture,none,2
flowRoot,无label,separator_side_texture,wall_atlas1.png,2
flowRoot,无label,separator_side_texture_atlas_cell,2 1 4 4 0.03125 0.015625,2
flowRoot,无label,separator_side_texture_atlas_cell,6 3 16 8 0.015625 0.0078125,2
flowRoot,无label,separator_side_texture_scale,0.2 1.0,2
flowRoot,无label,separator_side_texture_scale,0.6 1.0,2
flowRoot,无label,separator_top_texture,none,2
flowRoot,无label,separator_top_texture,wall_atlas1.png,2
flowRoot,无label,separator_top_texture_atlas_cell,2 1 4 4 0.03125 0.03125,2
flowRoot,无label,separator_top_texture_atlas_cell,6 5 16 16 0.015625,2
flowRoot,无label,separator_top_texture_scale,0.2 1.0,2
flowRoot,无label,separator_top_texture_scale,0.6 0.6,2
flowRoot,无label,side_texture,none,2
flowRoot,无label,side_texture,wall_atlas1.png,2
flowRoot,无label,side_texture_atlas_cell,0 1 4 4 0.015625,2
flowRoot,无label,side_texture_atlas_cell,3 0 8 8 0.0078125,2
flowRoot,无label,side_texture_scale,1.35 1.35,2
flowRoot,无label,side_texture_scale,2.0 1.25,2
flowRoot,无label,st_floor_1,apartment1_1st_floor,1
flowRoot,无label,st_floor_2,apartment1_1st_floor_empty,1
flowRoot,无label,st_floor_3,apartment1_1st_floor,1
flowRoot,无label,st_floor_4,apartment1_1st_floor_empty,1
flowRoot,无label,template,enclosure_a,1
flowRoot,无label,texture0,decal_decoration_atlas.png,2
flowRoot,无label,texture0,world_atlas1.png,2
flowRoot,无label,texture0_atlas_cell,0 2 4 4,10
flowRoot,无label,texture0_atlas_cell,0 5 8 8,10
flowRoot,无label,texture0_atlas_cell,1 0 128 128,10
flowRoot,无label,texture0_atlas_cell,1 4 8 8,10
flowRoot,无label,texture0_atlas_cell,1 5 8 8,10
flowRoot,无label,texture0_atlas_cell,2 1 8 4,10
flowRoot,无label,texture0_atlas_cell,3 0 8 8,10
flowRoot,无label,texture0_atlas_cell,4 0 8 8,10
flowRoot,无label,texture0_atlas_cell,5 0 8 8,10
flowRoot,无label,texture0_atlas_cell,5 1 16 16,10
flowRoot,无label,top_texture,wall_atlas1.png,1
flowRoot,无label,top_texture_atlas_cell,3 4 8 16 0.0078125 0.015625,1
flowRoot,无label,top_texture_scale,1.35 0.5,1
flowRoot,无label,type,tree,2
flowRoot,无label,type,vehicle,2
g,alpha_road,name,Eastern district,1
g,bases.dominance,height,4,1
g,bases.dominance,material,BuildingWhite2,1
g,bases.manvsworld,faction_index,1,1
g,bases.manvsworld,name,Eastern district,1
g,buildings,height,4,1
g,buildings,material,BuildingWhite2,1
g,cars,key,special_crate_wood3.vehicle,1
g,cars,type,vehicle,1
g,crates,template,barell_red,1
g,decals,template,manhole,1
g,dirt,height,4,1
g,extraction,key,heli_extraction.vehicle,1
g,extraction,type,vehicle,1
g,height,TOP_MATERIAL,TERRAIN,1
g,height,TYPE,END,1
g,height,WALL_TEMPLATE,STONEWALL1,1
g,ladders,template,hedgehog,1
g,layer1,template,GardenWall1,1
g,layer1.manvsworld,tag,truck,1
g,layer1.manvsworld,type,vehicle,1
g,layer3,height,2,1
g,layer3,material,BuildingVilla,1
g,layer3,roof_type,elevated,1
g,other,key,rubber_boat.vehicle,1
g,other,template,parasol_blue,1
g,other,type,vehicle,2
g,other,type,weapon_rack,2
g,signs,mode,stand,1
g,signs,penetrability,0.5,1
g,signs,rect,0.000 0.909 0.538 0.983,1
g,signs,texture,signs.png,1
g,spawnpoints,height,2,1
g,spawnpoints,key,mobile_armory.vehicle,2
g,spawnpoints,key,noxe.vehicle,2
g,spawnpoints,material,BuildingWhite2RoofStory1,1
g,spawnpoints,roof_type,flat,1
g,spawnpoints,type,vehicle,1
g,vehicles,tag,icecream,1
g,woods_1,template,FarmFence1,2
g,woods_1,template,palmtree_1,2
g,无label,base_wall_template,BrickWall1,4
g,无label,base_wall_template,BrickWall3,4
g,无label,base_wall_template,CliffWall2,4
g,无label,base_wall_template,SidePanelWall1,4
g,无label,height,0.1,8
g,无label,height,0.10,8
g,无label,height,0.25,8
g,无label,height,0.4,8
g,无label,height,1.2,8
g,无label,height,4,8
g,无label,height,4.0,8
g,无label,height,6,8
g,无label,material,BuildingWhite2,2
g,无label,material,BuildingWhite4,2
g,无label,separator_height,0.1,3
g,无label,separator_height,0.2,3
g,无label,separator_height,0.3,3
g,无label,top_material,pavement,3
g,无label,top_material,terrain,3
g,无label,top_material,wood,3
g,无label,type,deck_end,4
g,无label,type,deck_start,4
g,无label,type,end,4
g,无label,type,start,4
g,无label,wall_height,0,3
g,无label,wall_height,0.2,3
g,无label,wall_height,1.0,3
g,无label,wall_template,DummyWall1,5
g,无label,wall_template,FarmFence1,5
g,无label,wall_template,PlatformFence1,5
g,无label,wall_template,StoneWall1,5
g,无label,wall_template,StoneWallCastle1,5
image,无label,template,burned_ground,1
path,#path13636,template,FarmFence1,1
path,#path21333,template,PlatformFence1,1
path,#path6989-1_platform,type,start,1
path,#path70527,template,SecurityFence1,1
path,#path70531,template,SecurityFence1,1
path,#path7454,collision_model_size,3 3.5 5.4,1
path,#path7454,collision_model_type,1,1
path,#path7454,mesh_name,armory.mesh,1
path,#path7454,name,armory,1
path,#path7454,tag,tank,1
path,#path7454,texture0,armory.png,1
path,#path7454,type,stash,2
path,#path7454,type,vehicle,2
path,#path7943_platform,template,PlatformFence1,1
path,#path7943_platform,type,deck_start,2
path,#path7943_platform,type,start,2
path,post,post_template,post1_3,2
path,post,post_template,post1_4,2
path,无label,TOP_MATERIAL,TERRAIN,1
path,无label,TYPE,END,1
path,无label,WALL_TEMPLATE,BRICKWALL2,2
path,无label,WALL_TEMPLATE,STONEWALL1,2
path,无label,base_wall_template,BrickWall1,2
path,无label,base_wall_template,SidePanelWall1,2
path,无label,collision_model_size,6.0 3.7 7.5,1
path,无label,collision_model_type,1,1
path,无label,height,0.5,12
path,无label,height,1.0,12
path,无label,height,1.3,12
path,无label,height,1.8,12
path,无label,height,2,12
path,无label,height,2.5,12
path,无label,height,3.0,12
path,无label,height,3.8,12
path,无label,height,4,12
path,无label,height,6,12
path,无label,height,6.0,12
path,无label,height,7.0,12
path,无label,material,BuildingHouse,6
path,无label,material,BuildingShop1,6
path,无label,material,BuildingWhite1,6
path,无label,material,BuildingWhite2,6
path,无label,material,BuildingWhite3,6
path,无label,material,BuildingWhite4,6
path,无label,merge,1,1
path,无label,mesh_name,rock_h1.mesh,1
path,无label,mode,deck,1
path,无label,name,East town,3
path,无label,name,clover,3
path,无label,name,rock_h1,3
path,无label,offset,0 -0.02 0,2
path,无label,offset,0 -0.3 0,2
path,无label,roof_color_variance,0 0 0,1
path,无label,template,ChurchWall1,9
path,无label,template,FarmFence1,9
path,无label,template,GardenWall1,9
path,无label,template,InvisibleWall1,9
path,无label,template,PlatformFence1,9
path,无label,template,RuinWall1,9
path,无label,template,RuinWall2,9
path,无label,template,SandbagWall1,9
path,无label,template,SecurityFence1,9
path,无label,texture0,decal_decoration_atlas.png,2
path,无label,texture0,world_atlas1.png,2
path,无label,texture0_atlas_cell,2 2 4 4,1
path,无label,texture0_rect,0.75 0.03125 0.875 0.125,1
path,无label,top_material,terrain,2
path,无label,top_material,wood,2
path,无label,type,deck_end,2
path,无label,type,end,2
path,无label,wall_template,BrickWall2,3
path,无label,wall_template,FarmFence1,3
path,无label,wall_template,StoneWall1,3
rect,#building_style,name,apartment1,8
rect,#building_style,name,apartment1_1st_floor,8
rect,#building_style,name,apartment1_1st_floor_busy,8
rect,#building_style,name,apartment1_1st_floor_empty,8
rect,#building_style,name,apartment1_1st_floor_really_empty,8
rect,#building_style,name,apartment1_normal_windows,8
rect,#building_style,name,empty,8
rect,#building_style,name,house,8
rect,#building_style,sequence,apartment1_1st_floor_door,14
rect,#building_style,sequence,"apartment1_1st_floor_door_wide1_l, apartment1_1st_floor_door_wide1_r",14
rect,#building_style,sequence,apartment1_1st_floor_empty,14
rect,#building_style,sequence,"apartment1_1st_floor_poster_wide1_l, apartment1_1st_floor_poster_wide1_r",14
rect,#building_style,sequence,apartment1_1st_floor_window,14
rect,#building_style,sequence,"apartment1_1st_floor_window, apartment1_1st_floor_empty",14
rect,#building_style,sequence,apartment1_small_window,14
rect,#building_style,sequence,apartment1_window,14
rect,#building_style,sequence,"apartment1_window_wide1_l, apartment1_window_wide1_r",14
rect,#building_style,sequence,"apartment1_window_wide2_l, apartment1_window_wide2_r",14
rect,#building_style,sequence,empty,14
rect,#building_style,sequence,house_door,14
rect,#building_style,sequence,house_empty,14
rect,#building_style,sequence,house_window,14
rect,#ladder,height,6,1
rect,#ladder,material,BuildingWhite2,1
rect,#ladder,offset,0 -0.1 0,1
rect,#material,atlas_texture,building_atlas2.png,2
rect,#material,atlas_texture,building_atlas3.png,2
rect,#material,color,stroke,1
rect,#material,color_variance,0.0 0.0 0.3,4
rect,#material,color_variance,0.0 0.1 0.1,4
rect,#material,color_variance,0.01 0.1 0.1,4
rect,#material,color_variance,0.02 0.2 0.2,4
rect,#material,detail_cutout_texture,cutout.png,1
rect,#material,detail_cutout_texture_channel,1,1
rect,#material,detail_cutout_texture_scale,10 10,1
rect,#material,detail_texture,wall_atlas1.png,1
rect,#material,detail_texture_atlas_cell,0 1 8 8 0.0078125 0.0078125,4
rect,#material,detail_texture_atlas_cell,2 0 8 8 0.0078125 0.0078125,4
rect,#material,detail_texture_atlas_cell,2 1 8 8 0.0078125,4
rect,#material,detail_texture_atlas_cell,2 1 8 8 0.0078125 0.0078125,4
rect,#material,detail_texture_scale,3 3,2
rect,#material,detail_texture_scale,3.0 3.0,2
rect,#material,name,BuildingHouse,15
rect,#material,name,BuildingRoofStory1,15
rect,#material,name,BuildingShop1,15
rect,#material,name,BuildingShop1End,15
rect,#material,name,BuildingShop2,15
rect,#material,name,BuildingVilla,15
rect,#material,name,BuildingWhite1Busy,15
rect,#material,name,BuildingWhite1Empty1stFloor,15
rect,#material,name,BuildingWhite2,15
rect,#material,name,BuildingWhite2Busy,15
rect,#material,name,BuildingWhite2RoofStory1,15
rect,#material,name,BuildingWhite3,15
rect,#material,name,BuildingWhite3Busy,15
rect,#material,name,BuildingWhite3RoofStory1,15
rect,#material,name,BuildingWhite4,15
rect,#material,other_floor_1,apartment1,4
rect,#material,other_floor_1,apartment1_normal_windows,4
rect,#material,other_floor_1,empty,4
rect,#material,other_floor_1,house,4
rect,#material,other_floor_2,apartment1,4
rect,#material,other_floor_2,apartment1_normal_windows,4
rect,#material,other_floor_2,empty,4
rect,#material,other_floor_2,house,4
rect,#material,other_floor_3,apartment1,4
rect,#material,other_floor_3,apartment1_normal_windows,4
rect,#material,other_floor_3,empty,4
rect,#material,other_floor_3,house,4
rect,#material,other_floor_4,apartment1,4
rect,#material,other_floor_4,apartment1_normal_windows,4
rect,#material,other_floor_4,empty,4
rect,#material,other_floor_4,house,4
rect,#material,roof_color,fill,1
rect,#material,roof_color_variance,0 0.1 0.1,4
rect,#material,roof_color_variance,0.0 0.0 0.2,4
rect,#material,roof_color_variance,0.0 0.1 0.1,4
rect,#material,roof_color_variance,0.01 0.1 0.1,4
rect,#material,roof_cutout_texture,cutout.png,2
rect,#material,roof_cutout_texture,cutout_2.png,2
rect,#material,roof_cutout_texture_channel,1,1
rect,#material,roof_cutout_texture_scale,15 15,3
rect,#material,roof_cutout_texture_scale,20 20,3
rect,#material,roof_cutout_texture_scale,30 30,3
rect,#material,roof_texture,concrete_roof.png,2
rect,#material,roof_texture,wall_atlas1.png,2
rect,#material,roof_texture_atlas_cell,0 4 8 8 0.0078125 0.03125,4
rect,#material,roof_texture_atlas_cell,1 0 2 2,4
rect,#material,roof_texture_atlas_cell,1 2 4 4 0.004,4
rect,#material,roof_texture_atlas_cell,2 1 8 8 0.015625 0.015625,4
rect,#material,roof_texture_rect,0 0 1 1,1
rect,#material,roof_texture_scale,1.5 1.5,4
rect,#material,roof_texture_scale,3 3,4
rect,#material,roof_texture_scale,5 5,4
rect,#material,roof_texture_scale,8.0 8.0,4
rect,#material,st_floor_1,apartment1_1st_floor,6
rect,#material,st_floor_1,apartment1_1st_floor_busy,6
rect,#material,st_floor_1,apartment1_1st_floor_really_empty,6
rect,#material,st_floor_1,empty,6
rect,#material,st_floor_1,house,6
rect,#material,st_floor_1,shop1,6
rect,#material,st_floor_2,apartment1_1st_floor,7
rect,#material,st_floor_2,apartment1_1st_floor_busy,7
rect,#material,st_floor_2,apartment1_1st_floor_empty,7
rect,#material,st_floor_2,apartment1_1st_floor_really_empty,7
rect,#material,st_floor_2,empty,7
rect,#material,st_floor_2,house,7
rect,#material,st_floor_2,shop1,7
rect,#material,st_floor_3,apartment1_1st_floor,7
rect,#material,st_floor_3,apartment1_1st_floor_busy,7
rect,#material,st_floor_3,apartment1_1st_floor_empty,7
rect,#material,st_floor_3,apartment1_1st_floor_really_empty,7
rect,#material,st_floor_3,empty,7
rect,#material,st_floor_3,house,7
rect,#material,st_floor_3,shop1,7
rect,#material,st_floor_4,apartment1_1st_floor,7
rect,#material,st_floor_4,apartment1_1st_floor_busy,7
rect,#material,st_floor_4,apartment1_1st_floor_empty,7
rect,#material,st_floor_4,apartment1_1st_floor_really_empty,7
rect,#material,st_floor_4,empty,7
rect,#material,st_floor_4,house,7
rect,#material,st_floor_4,shop1,7
rect,#mesh,alpha_blend,1,2
rect,#mesh,alpha_blend,1: penetrability = 0.9,2
rect,#mesh,collision_model_offset,0 0 0,2
rect,#mesh,collision_model_offset,0 8.6 0,2
rect,#mesh,collision_model_size,,6
rect,#mesh,collision_model_size,1.6 5 1.6,6
rect,#mesh,collision_model_size,12 6 3,6
rect,#mesh,collision_model_size,14 6 3,6
rect,#mesh,collision_model_size,14.5 7.0 3.5,6
rect,#mesh,collision_model_size,3.0 0.2 1.5,6
rect,#mesh,collision_model_type,-1,3
rect,#mesh,collision_model_type,0,3
rect,#mesh,collision_model_type,1,3
rect,#mesh,mesh_name,bowling.mesh,3
rect,#mesh,mesh_name,container.mesh,3
rect,#mesh,mesh_name,ruins2.mesh,3
rect,#mesh,name,bowling,3
rect,#mesh,name,plank,3
rect,#mesh,name,ruins_1,3
rect,#mesh,offset,0 -0.0 0,11
rect,#mesh,offset,0 -0.3 0,11
rect,#mesh,offset,0 -0.4 0,11
rect,#mesh,offset,0 -0.6 0,11
rect,#mesh,offset,0 -1 0,11
rect,#mesh,offset,0 -1.0 0,11
rect,#mesh,offset,0 -1.6 0,11
rect,#mesh,offset,0 -1.9 0,11
rect,#mesh,offset,0 0 0,11
rect,#mesh,offset,0 3 0,11
rect,#mesh,offset,1 -1 0,11
rect,#mesh,see_through,1,1
rect,#mesh,template,armory,67
rect,#mesh,template,barell_blue,67
rect,#mesh,template,barell_green,67
rect,#mesh,template,barell_red,67
rect,#mesh,template,bench,67
rect,#mesh,template,buddha,67
rect,#mesh,template,bush0,67
rect,#mesh,template,bush1,67
rect,#mesh,template,bush2,67
rect,#mesh,template,bush3,67
rect,#mesh,template,bush3_1,67
rect,#mesh,template,bush4,67
rect,#mesh,template,bush5,67
rect,#mesh,template,camonet,67
rect,#mesh,template,chairset_chair,67
rect,#mesh,template,chairset_table,67
rect,#mesh,template,church,67
rect,#mesh,template,concrete_barrier,67
rect,#mesh,template,container_blue,67
rect,#mesh,template,container_green,67
rect,#mesh,template,container_red,67
rect,#mesh,template,crate_medical,67
rect,#mesh,template,enclosure,67
rect,#mesh,template,enclosure_a,67
rect,#mesh,template,gas_tank,67
rect,#mesh,template,hedgehog,67
rect,#mesh,template,obelisk,67
rect,#mesh,template,palmtree_2,67
rect,#mesh,template,parasol_blue,67
rect,#mesh,template,parasol_green,67
rect,#mesh,template,parasol_red,67
rect,#mesh,template,parasol_yellow,67
rect,#mesh,template,pickup_broken,67
rect,#mesh,template,pipe,67
rect,#mesh,template,"rock_,m2",67
rect,#mesh,template,rock_b1,67
rect,#mesh,template,rock_b4,67
rect,#mesh,template,rock_h1,67
rect,#mesh,template,rock_h3,67
rect,#mesh,template,rock_m1,67
rect,#mesh,template,rock_s2,67
rect,#mesh,template,rock_s4,67
rect,#mesh,template,streetlantern,67
rect,#mesh,template,streetlight,67
rect,#mesh,template,sunchair_blue,67
rect,#mesh,template,sunchair_green,67
rect,#mesh,template,sunchair_red,67
rect,#mesh,template,sunchair_yellow,67
rect,#mesh,template,tent,67
rect,#mesh,template,tropical_plant_01,67
rect,#mesh,template,tropical_plant_02,67
rect,#mesh,template,tropical_plant_03,67
rect,#mesh,template,tropical_plant_04,67
rect,#mesh,template,tropical_plant_05,67
rect,#mesh,template,tropical_plant_06,67
rect,#mesh,template,tropical_plant_07,67
rect,#mesh,template,tropical_plant_08,67
rect,#mesh,template,tropical_plant_09,67
rect,#mesh,template,tropical_plant_10,67
rect,#mesh,template,tropical_plant_11,67
rect,#mesh,template,tropical_plant_12,67
rect,#mesh,template,tropical_plant_13,67
rect,#mesh,template,ventilator,67
rect,#mesh,template,venus,67
rect,#mesh,template,weapon_rack,67
rect,#mesh,template,windmill,67
rect,#mesh,template,world_statue,67
rect,#mesh,texture0,alpha.png,2
rect,#mesh,texture0,world_atlas1.png,2
rect,#mesh,texture0_atlas_cell,1 1 64 64,2
rect,#mesh,texture0_atlas_cell,4 2 8 8,2
rect,#mesh,visual_offset,0 0 0,2
rect,#mesh,visual_offset,0 3 0,2
rect,#mesh,walkable,0,2
rect,#mesh,walkable,1,2
rect,#mesh_template,alpha_blend,1,1
rect,#mesh_template,alpha_blend0,0,1
rect,#mesh_template,alpha_blend1,1,1
rect,#mesh_template,appear_as_wall,1,1
rect,#mesh_template,backline,1,1
rect,#mesh_template,base_template,rock_s1,2
rect,#mesh_template,base_template,sunchair_red,2
rect,#mesh_template,collision_model_offset,0 0 -.8,1
rect,#mesh_template,collision_model_size,.3 4 .3,31
rect,#mesh_template,collision_model_size,.3 7 .3,31
rect,#mesh_template,collision_model_size,0.1 2.0 0.1,31
rect,#mesh_template,collision_model_size,0.4 10.0 0.4,31
rect,#mesh_template,collision_model_size,0.4 8.5 0.4,31
rect,#mesh_template,collision_model_size,1 1.2 3.7,31
rect,#mesh_template,collision_model_size,1.0 0.7 0.7,31
rect,#mesh_template,collision_model_size,1.0 0.9 1.7,31
rect,#mesh_template,collision_model_size,1.0 16 1.0,31
rect,#mesh_template,collision_model_size,1.10 1.10 2.3,31
rect,#mesh_template,collision_model_size,1.2 0.3 1.2,31
rect,#mesh_template,collision_model_size,1.2 1.2 1.2,31
rect,#mesh_template,collision_model_size,1.2 1.4 1.2,31
rect,#mesh_template,collision_model_size,1.3 1.5 1.6,31
rect,#mesh_template,collision_model_size,1.3 1.85 0.6,31
rect,#mesh_template,collision_model_size,1.6 1.15 2.1,31
rect,#mesh_template,collision_model_size,1.6 2 1.6,31
rect,#mesh_template,collision_model_size,1.8 0.9 1.9,31
rect,#mesh_template,collision_model_size,1.8 0.95 1.7,31
rect,#mesh_template,collision_model_size,10 18.0 15,31
rect,#mesh_template,collision_model_size,2 8 2,31
rect,#mesh_template,collision_model_size,2.3 1.5 2.4,31
rect,#mesh_template,collision_model_size,2.5 1.0 2.8,31
rect,#mesh_template,collision_model_size,2.5 1.1 3.6,31
rect,#mesh_template,collision_model_size,2.5 1.3 2.5,31
rect,#mesh_template,collision_model_size,3.2 1.8 3.8,31
rect,#mesh_template,collision_model_size,3.4 1.8 3.3,31
rect,#mesh_template,collision_model_size,4.0 1.6 5.0,31
rect,#mesh_template,collision_model_size,5.0 2.4 4.7,31
rect,#mesh_template,collision_model_size,6.0 3.0 3.0,31
rect,#mesh_template,collision_model_size,7.5 8.0 7.5,31
rect,#mesh_template,collision_model_type,-1,3
rect,#mesh_template,collision_model_type,0,3
rect,#mesh_template,collision_model_type,1,3
rect,#mesh_template,grass,1,1
rect,#mesh_template,mesh_name,barell.mesh,55
rect,#mesh_template,mesh_name,bench.mesh,55
rect,#mesh_template,mesh_name,buddha_statue.mesh,55
rect,#mesh_template,mesh_name,bush0.mesh,55
rect,#mesh_template,mesh_name,bush1.mesh,55
rect,#mesh_template,mesh_name,bush2.mesh,55
rect,#mesh_template,mesh_name,bush3.mesh,55
rect,#mesh_template,mesh_name,bush3_1.mesh,55
rect,#mesh_template,mesh_name,bush4.mesh,55
rect,#mesh_template,mesh_name,bush5.mesh,55
rect,#mesh_template,mesh_name,chairset_chair.mesh,55
rect,#mesh_template,mesh_name,chairset_table.mesh,55
rect,#mesh_template,mesh_name,church.mesh,55
rect,#mesh_template,mesh_name,concrete_barrier.mesh,55
rect,#mesh_template,mesh_name,container.mesh,55
rect,#mesh_template,mesh_name,enclosure.mesh,55
rect,#mesh_template,mesh_name,hedgehog.mesh,55
rect,#mesh_template,mesh_name,obelisk.mesh,55
rect,#mesh_template,mesh_name,palmtree_1.mesh,55
rect,#mesh_template,mesh_name,parasol.mesh,55
rect,#mesh_template,mesh_name,post1_3.mesh,55
rect,#mesh_template,mesh_name,post1_4.mesh,55
rect,#mesh_template,mesh_name,rock_b1.mesh,55
rect,#mesh_template,mesh_name,rock_b2.mesh,55
rect,#mesh_template,mesh_name,rock_b3.mesh,55
rect,#mesh_template,mesh_name,rock_b4.mesh,55
rect,#mesh_template,mesh_name,rock_h3.mesh,55
rect,#mesh_template,mesh_name,rock_m1.mesh,55
rect,#mesh_template,mesh_name,rock_m2.mesh,55
rect,#mesh_template,mesh_name,rock_m3.mesh,55
rect,#mesh_template,mesh_name,rock_m4.mesh,55
rect,#mesh_template,mesh_name,rock_s2.mesh,55
rect,#mesh_template,mesh_name,rock_s3.mesh,55
rect,#mesh_template,mesh_name,rock_s4.mesh,55
rect,#mesh_template,mesh_name,stone_1.mesh,55
rect,#mesh_template,mesh_name,stone_2.mesh,55
rect,#mesh_template,mesh_name,stone_3.mesh,55
rect,#mesh_template,mesh_name,stone_4.mesh,55
rect,#mesh_template,mesh_name,stone_5.mesh,55
rect,#mesh_template,mesh_name,streetlight.mesh,55
rect,#mesh_template,mesh_name,sunchair.mesh,55
rect,#mesh_template,mesh_name,tropical_plant_01.mesh,55
rect,#mesh_template,mesh_name,tropical_plant_02.mesh,55
rect,#mesh_template,mesh_name,tropical_plant_03.mesh,55
rect,#mesh_template,mesh_name,tropical_plant_04.mesh,55
rect,#mesh_template,mesh_name,tropical_plant_05.mesh,55
rect,#mesh_template,mesh_name,tropical_plant_06.mesh,55
rect,#mesh_template,mesh_name,tropical_plant_07.mesh,55
rect,#mesh_template,mesh_name,tropical_plant_08.mesh,55
rect,#mesh_template,mesh_name,tropical_plant_09.mesh,55
rect,#mesh_template,mesh_name,tropical_plant_10.mesh,55
